"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"WHS3_48","PUBLISHED","2010","EUR","KGZ","3","","","",""
"WHS3_48","PUBLISHED","2011","EUR","KGZ","0","","","",""
"WHS3_48","PUBLISHED","2006","WPR","LAO","18382","","","",""
"WHS3_48","PUBLISHED","2007","WPR","LAO","17458","","","",""
"WHS3_48","PUBLISHED","2008","WPR","LAO","19347","","","",""
"WHS3_48","PUBLISHED","2009","WPR","LAO","14674","","","",""
"WHS3_48","PUBLISHED","2010","WPR","LAO","20800","","","",""
"WHS3_48","PUBLISHED","2011","WPR","LAO","17835","","","",""
"WHS3_48","PUBLISHED","2006","AFR","LBR","761415","","","",""
"WHS3_48","PUBLISHED","2007","AFR","LBR","492272","","","",""
"WHS3_48","PUBLISHED","2008","AFR","LBR","606952","","","",""
"WHS3_48","PUBLISHED","2009","AFR","LBR","839581","","","",""
"WHS3_48","PUBLISHED","2010","AFR","LBR","922173","","","",""
"WHS3_48","PUBLISHED","2011","AFR","LBR","1915762","","","",""
"WHS3_48","PUBLISHED","2006","AFR","MDG","5689","","","",""
"WHS3_48","PUBLISHED","2007","AFR","MDG","48497","","","",""
"WHS3_48","PUBLISHED","2008","AFR","MDG","93234","","","",""
"WHS3_48","PUBLISHED","2009","AFR","MDG","215110","","","",""
"WHS3_48","PUBLISHED","2010","AFR","MDG","202450","","","",""
"WHS3_48","PUBLISHED","2011","AFR","MDG","224498","","","",""
"WHS3_48","PUBLISHED","2011","AFR","MWI","304499","","","",""
"WHS3_48","PUBLISHED","2006","WPR","MYS","4597","","","",""
"WHS3_48","PUBLISHED","2007","WPR","MYS","4627","","","",""
"WHS3_48","PUBLISHED","2008","WPR","MYS","6517","","","",""
"WHS3_48","PUBLISHED","2009","WPR","MYS","6426","","","",""
"WHS3_48","PUBLISHED","2010","WPR","MYS","5819","","","",""
"WHS3_48","PUBLISHED","2011","WPR","MYS","4164","","","",""
"WHS3_48","PUBLISHED","2010","AFR","MLI","227482","","","",""
"WHS3_48","PUBLISHED","2011","AFR","MLI","307035","","","",""
"WHS3_48","PUBLISHED","2006","AFR","MRT","1061","","","",""
"WHS3_48","PUBLISHED","2008","AFR","MRT","302","","","",""
